,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,10,4,payoffs,2.0,1.5572712586398592e-25,1.0,1.0,2.0,1.5572712586398592e-25,3.0,1.0,0.0,1.5572712586398592e-25,1.0,1.0
0,11,0,shares,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.0,0.2803233980988918
0,11,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,11,1,shares,0.0,0.0,0.0029032339809889206,0.007096766019011082,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.08138444150269875,0.19893895659619304
0,11,1,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,11,2,shares,0.0,0.0,0.00450000981965672,0.005499990180343283,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.12614580441245526,0.15417759368643652
0,11,2,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,11,3,shares,0.0,0.0,0.00551021389719562,0.004489786102804383,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.15446418839136133,0.12585920970753045
0,11,3,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,11,4,shares,0.0,0.0,0.006206905892651673,0.0037930941073483306,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.17399409515081515,0.10632930294807663
0,11,4,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,12,0,shares,0.0,0.0,0.0,0.010000000000000004,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.0,0.28032339809889184
0,12,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,12,1,shares,0.0,0.0,0.002903233980988921,0.007096766019011083,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.08138444150269876,0.1989389565961931
0,12,1,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,12,2,shares,0.0,0.0,0.004500009819656721,0.005499990180343283,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.1261458044124553,0.15417759368643655
0,12,2,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,12,3,shares,0.0,0.0,0.005510213897195621,0.004489786102804383,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.15446418839136136,0.12585920970753048
0,12,3,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,12,4,shares,0.0,0.0,0.0062069058926516735,0.00379309410734833,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.1739940951508152,0.10632930294807665
0,12,4,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,13,0,shares,0.0,0.0,0.0,0.010000000000000004,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.0,0.28032339809889184
0,13,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,13,1,shares,0.0,0.0,0.002903233980988921,0.007096766019011083,0.0,0.0,0.0,0.7096766019011075,0.0,0.0,0.08138444150269876,0.1989389565961931
